n,Bothe_k1,Bothe_k2,Bothe_cpk,Bothe_Power,Pearn_k1,Pearn_k2,Pearn_cpk,Pearn_Power,Tai_k1,Tai_k2,Tai_cpk,Tai_Power
2,2.1213203435596424,1.0,1.2439635552048902,0.5045761083027909,0.0,3.864128973068073,0.5049185340318261,0.7187648036301915,2.1213203435596424,3.864128973068073,0.32192599260401955,0.7801211241082839
3,1.7320508075688774,1.0,1.3737200672018115,0.5028137516584699,0.0,2.7337318423067,0.7137021657344197,0.6362330728326306,1.7320508075688774,2.7337318423067,0.5025072488612043,0.7570444517469098
4,1.5,1.0,1.4510703363914361,0.5022374551499447,0.0,2.350899222152217,0.8299251273754124,0.6009587700765886,1.5,2.350899222152217,0.6172405531969168,0.7526760119132359
5,1.3416407864998738,1.0,1.5038567408914794,0.5019495582219395,0.0,2.1435485260639795,0.9102058165083977,0.5808242912422867,1.3416407864998738,2.1435485260639795,0.7015734529009647,0.7512811439732328
6,1.2247448713915892,1.0,1.5428220459275732,0.5017738110199372,0.0,2.0089884201699193,0.9711705238332913,0.5676807969799813,1.2247448713915892,2.0089884201699193,0.7679596509556198,0.7507052978567073
7,1.1338934190276817,1.0,1.5731058633822088,0.5016579978687529,0.0,1.9127263776207184,1.0200467558869635,0.5583890313760874,1.1338934190276817,1.9127263776207184,0.8224416632655159,0.750426884762219
8,1.0606601717798212,1.0,1.5975169457981635,0.5015832424076958,0.0,1.8395071943077985,1.060648385844242,0.5514587100792352,1.0606601717798212,1.8395071943077985,0.8684483272158686,0.75027682355427
9,1.0,1.0,1.6177370030581035,0.5015338077574858,0.0,1.781412285443794,1.0952379481908516,0.5460853174615682,1.0,1.781412285443794,0.9081204930924147,0.7501892106045112
10,0.9486832980505138,1.0,1.634842570374599,0.5014996793196331,0.0,1.7338708831124503,1.1252685280054386,0.5417943592223924,0.9486832980505138,1.7338708831124503,0.9428859935867389,0.7501348106892447
11,0.9045340337332909,1.0,1.6495589918136737,0.5014751296459169,0.0,1.6940365947586276,1.1517285650310478,0.5382871643246294,0.9045340337332909,1.6940365947586276,0.9737446032260647,0.7500993380641108
12,0.8660254037844387,1.0,1.6623952017966241,0.5014568350682596,0.0,1.6600325702495862,1.1753205156077708,0.5353660603534227,0.8660254037844387,1.6600325702495862,1.001423244091339,0.7500752647961206
13,0.8320502943378437,1.0,1.6737202382788219,0.5014427907123651,0.0,1.6305646757536418,1.196561145598017,0.532894879865462,0.8320502943378437,1.6305646757536418,1.0264666364768595,0.7500583755564428
14,0.8017837257372732,1.0,1.683809094479012,0.5014317367007588,0.0,1.6047079084805282,1.2158414164225524,0.5307767039627258,0.8017837257372732,1.6047079084805282,1.0492931988310468,0.7500461887600789
15,0.7745966692414834,1.0,1.6928714466442765,0.5014228508492576,0.0,1.5817812708239036,1.2334640524446097,0.5289406407643964,0.7745966692414834,1.5817812708239036,1.070231060304886,0.7500371807737767
16,0.75,1.0,1.7010703363914363,0.5014155783118943,0.0,1.5612708426419772,1.249668080068569,0.527333622090997,0.75,1.5612708426419772,1.0895421152635445,0.7500303819994489
17,0.7276068751089989,1.0,1.7085347113551046,0.5014095334636024,0.0,1.54278054910378,1.2646454076212184,0.5259151243565884,0.7276068751089989,1.54278054910378,1.1074385870029364,0.750025156033736
18,0.7071067811865476,1.0,1.7153680759959218,0.5014044412755696,0.0,1.5259995657806973,1.278552353580307,0.5246536637347856,0.7071067811865476,1.5259995657806973,1.1240947340101923,0.7500210737447305
19,0.6882472016116852,1.0,1.7216546025208759,0.5014001010868536,0.0,1.510680102047184,1.2915178625491008,0.5235244057759816,0.6882472016116852,1.510680102047184,1.1396553116624701,0.7500178388097525
20,0.6708203932499369,1.0,1.7274635386414572,0.5013963635245284,0.0,1.4966218718021915,1.3036494876571667,0.5225074963111463,0.6708203932499369,1.4966218718021915,1.154241810298611,0.7500152422533668
21,0.6546536707079772,1.0,1.7328524461554444,0.5013931153927937,0.0,1.4836609964253094,1.315037829458542,0.5215868715936599,0.6546536707079772,1.4836609964253094,1.1679571346355602,0.7500131338986908
22,0.6396021490668313,1.0,1.7378696200358272,0.5013902695336214,0.0,1.4716619189474098,1.3257598849788264,0.5207493943035039,0.6396021490668313,1.4716619189474098,1.1808891686745686,0.7500114039785951
23,0.6255432421712244,1.0,1.742555922334363,0.5013877578712784,0.0,1.4605114093395326,1.3358816123687407,0.5199842157567507,0.6255432421712244,1.4605114093395326,1.1931135294056863,0.7500099710246219
24,0.6123724356957946,1.0,1.746946191159505,0.5013855265448537,0.0,1.4501140506059635,1.345459921291113,0.5192822980554894,0.6123724356957946,1.4501140506059635,1.2046957206086675,0.750008773724041
25,0.6,1.0,1.7510703363914375,0.5013835324398966,0.0,1.4403887920442806,1.3545442363671605,0.518636051230946,0.6,1.4403887920442806,1.2156928365890853,0.750007765343482
26,0.5883484054145521,1.0,1.7549542012532537,0.5013817406761077,0.0,1.4312662838425994,1.3631777387735922,0.5180390543198822,0.5883484054145521,1.4312662838425994,1.2261549238354388,0.750006909845199
27,0.5773502691896257,1.0,1.758620246661561,0.5013801227600989,0.0,1.422686792011644,1.3713983621318868,0.5174858385524221,0.5773502691896257,1.422686792011644,1.2361260795673203,0.7500061791401849
28,0.5669467095138409,1.0,1.762088099886823,0.501378655208425,0.0,1.4145985500342892,1.37923959864383,0.5169717170848765,0.5669467095138409,1.4145985500342892,1.2456453457018677,0.75000555111761
29,0.5570860145311556,1.0,1.765374998214385,0.5013773185081765,0.0,1.406956443115098,1.386731157129238,0.5164926500179792,0.5570860145311556,1.406956443115098,1.2547474421494695,0.7500050082126142
30,0.5477225575051661,1.0,1.7684961505563808,0.501376096323233,0.0,1.3997209485369646,1.3938995043481783,0.5160451364512073,0.5477225575051661,1.3997209485369646,1.2634633727564573,0.7500045363526955
