n,k1 min,k2 min,cpk min,k1 max,k2 max,cpk max,cpk mean,cpk pct 025,cpk pct 975,power min,power max
2,1.249,2.63618,0.5821821738493208,2.0,1.76949,0.7258609371766839,0.6124853090742651,0.5822379203189137,0.6883642241329441,0.49992984657773987,0.4999242187742542
3,0.923,2.32479,0.7069041374596285,1.73,1.00691,1.3649717151729261,0.7500737370972713,0.7069596449891169,0.9612009298418249,0.5000191027350283,0.5000002701597835
4,0.759,2.15551,0.7877812380325011,1.498,1.02298,1.4191254990890374,0.8307298854107464,0.7878323701259716,1.0470454273663141,0.499957971854884,0.5000030502336359
5,0.655,2.0477,0.8461869429399341,1.34,1.01127,1.4876379895821783,0.8889436573131043,0.8462369869330616,1.1076286351369458,0.5000613082141531,0.5000039182454149
6,0.583,1.97133,0.8911430369639299,1.223,1.03037,1.4979120798594383,0.9334630252812284,0.8911921997341812,1.151956449537177,0.500012742028725,0.50000022080169
7,0.53,1.91361,0.9272545971879168,1.1320000000000001,1.04716,1.502862029735764,0.9691209698766109,0.9273027464588831,1.186625854786898,0.5000265303786047,0.500001107408323
8,0.487,1.86878,0.9571683146534651,1.059,1.04004,1.5365469947227388,0.998800827743759,0.9572131794215706,1.2162259832373628,0.5000893895370543,0.5000000560041284
9,0.452,1.83242,0.9825278428115659,0.998,1.06283,1.522730511676158,1.0236399856751466,0.9825712063621068,1.2389804346854811,0.49995819300586,0.49999762346569343
10,0.427,1.80078,1.0044186425094148,0.9470000000000001,1.05134,1.555542136439944,1.045397477937345,1.0044620538951161,1.2608353375064372,0.5000343412163213,0.49999959307221664
11,0.402,1.77519,1.0235920303693897,0.903,1.04679,1.5763145773186957,1.0643769088930417,1.0236344317316417,1.279364098698158,0.4999386074648925,0.49999970419015627
12,0.384,1.75196,1.0405890182375384,0.865,1.00745,1.6504412159989121,1.081470128232284,1.040628418458172,1.297387879848898,0.4999910187671647,0.5000003809382179
13,0.362,1.73366,1.0558031388650433,0.8310000000000001,1.01626,1.64728547457485,1.0964257435835871,1.0558440731429177,1.3113507219716072,0.49999400749729106,0.49999957191160926
14,0.34800000000000003,1.71575,1.0695441272862807,0.8,1.068,1.577156994124317,1.109430686737259,1.0695847557280347,1.3205297020079936,0.49990858175475383,0.49999694223059166
15,0.332,1.70096,1.0819793938274684,0.773,1.06157,1.595187947779959,1.1217704673228879,1.0820194761058899,1.3327117792533805,0.499985058562031,0.4999988144460008
16,0.319,1.68704,1.0934755566306098,0.749,1.02294,1.6632487435477843,1.1335121179939984,1.093514093584854,1.346097351777102,0.5000805223461351,0.5000006692652335
17,0.307,1.67458,1.1040004078981618,0.726,1.06576,1.6036165144042163,1.1433975915418726,1.104041126681604,1.3525602819616884,0.5000800155992703,0.5000015462758223
18,0.295,1.66353,1.113738257234978,0.706,1.03832,1.6524164063661526,1.1533271740084148,1.1137734024335988,1.3638743528446222,0.4999629037780693,0.5000002140996134
19,0.28700000000000003,1.65251,1.1227790874032653,0.687,1.0501,1.63991080505803,1.1620934641014722,1.1228133577097663,1.371244264678584,0.5000714157994823,0.5000022965563049
20,0.277,1.64314,1.1312103673808096,0.67,1.01307,1.7054468132094565,1.1707474142427519,1.1312469972262864,1.381106156179587,0.49994015142967807,0.4999992423703976
21,0.27,1.63381,1.1390983874449514,0.653,1.07339,1.6148871050827476,1.177804450078985,1.1391351572701294,1.3835987423212606,0.4998845724139076,0.49999637482161485
22,0.263,1.62529,1.1465053434924048,0.638,1.07234,1.6211310495969278,1.1851046503312739,1.1465432626853485,1.3903841789128637,0.499955272318376,0.49999890996867014
23,0.253,1.61835,1.1534816344165988,0.624,1.07086,1.627729429049023,1.1919849084139182,1.1535163718603776,1.3968744549279315,0.4999172114550172,0.49999768709664016
24,0.249,1.61032,1.160061563162252,0.611,1.06398,1.6423275528908157,1.198569955995097,1.1600971499287194,1.4036126053171027,0.5000885097400758,0.5000025684527025
25,0.244,1.60315,1.1662894944690783,0.599,1.04264,1.6797779384301095,1.2049931461035697,1.166327327254808,1.4112173811951214,0.49993084150945777,0.49999826282593296
26,0.23500000000000001,1.59763,1.1721969436340722,0.587,1.06483,1.648529502103407,1.2104834684942853,1.1722297659819212,1.414374999875028,0.500046187633427,0.5000013185282595
27,0.231,1.59115,1.1778087146978198,0.5760000000000001,1.06585,1.6503920217586312,1.2159816542586344,1.1778442398827853,1.4192618073578391,0.49987094909466523,0.4999978186277788
28,0.227,1.58509,1.1831527987210628,0.5660000000000001,1.04243,1.690668600984978,1.221576905655836,1.1831868059125366,1.4263573464643904,0.5000278924099215,0.500000871849088
29,0.223,1.57941,1.188251944117173,0.556,1.05323,1.6764970643241293,1.2264415730573945,1.188284989593085,1.4299210405179867,0.499932408366327,0.4999980763490872
30,0.215,1.5752,1.1931206638679348,0.547,1.0226,1.729646981281149,1.231584789481555,1.1931530834084991,1.4364943284167744,0.49990862826163684,0.49999740450726693
