n,k1 min,k2 min,cpk min,k1 max,k2 max,cpk max,cpk mean,cpk pct 025,cpk pct 975,power min,power max
2,1.26,2.65931,0.5757396980387531,2.0,1.79987,0.7136091327289028,0.6056265895017319,0.5757934613427218,0.6774361580311344,0.5000007159281044,0.50000035501145
3,0.922,2.31033,0.7114728212238527,1.731,1.00421,1.3683097523341106,0.7548558287827662,0.7115269807334825,0.9668159124872043,0.5000008126703901,0.5000000145358953
4,0.76,2.11095,0.8042525891461685,1.499,1.00385,1.4458371965181749,0.8477464376828331,0.8043057039508305,1.0656824109428726,0.5000018657829839,0.5000000039005659
5,0.663,1.9792,0.874126079421704,1.34,1.03924,1.4475998515499493,0.9169209967545037,0.8741763986178124,1.1330628281315875,0.5000016199975494,0.49999998847217075
6,0.591,1.88658,0.929761969485226,1.223,1.04487,1.4771250679268897,0.9718624056558572,0.9298107662715112,1.1852216328049354,0.5000017678172075,0.4999998946059667
7,0.544,1.81378,0.9757175639041693,1.133,1.00689,1.5626371001050468,1.0175038528117843,0.9757649072175655,1.2299894448229491,0.5000032457054567,0.5000000192910075
8,0.506,1.7566,1.0146895535265688,1.059,1.04389,1.5308800126368083,1.0553529438400788,1.0147370639285158,1.2618208885038706,0.5000016124265112,0.5000001064303166
9,0.47900000000000004,1.70872,1.0483892444196654,0.999,1.01602,1.5925575642127492,1.088661213704105,1.048433838876378,1.293420215234626,0.5000041253441408,0.49999997156701514
10,0.449,1.67108,1.0779876904306023,0.9470000000000001,1.04588,1.5636628195632105,1.1171927220494382,1.0780327037815238,1.31600447330308,0.5000045067196393,0.4999998836688312
11,0.432,1.6364,1.1042962212120735,0.903,1.04119,1.5847927240863218,1.1429007592735374,1.104344195647956,1.3385625590342467,0.5000038153530968,0.5000000148132229
12,0.41500000000000004,1.60714,1.1279272515512673,0.865,1.02012,1.62994255877554,1.1661675318539229,1.1279715813926317,1.3600943133972683,0.5000045564374238,0.499999885915848
13,0.4,1.58156,1.1493316744594595,0.8310000000000001,1.0222,1.6377131054504372,1.186944224727892,1.1493753542085738,1.3774511821819855,0.5000048859881209,0.4999999692357927
14,0.386,1.55913,1.1688593444579798,0.801,1.00762,1.6713347654784907,1.206057102998195,1.168903412984518,1.3943380639464966,0.500002724215456,0.4999999780511253
15,0.374,1.53895,1.1867855808991645,0.773,1.04522,1.6201408983034873,1.2229421955759288,1.1868271174849794,1.4052432404916406,0.500001125385374,0.4999997816984164
16,0.361,1.5214,1.2033239141962027,0.749,1.02192,1.6649088673524055,1.239304675088844,1.2033674788238455,1.4209020666985757,0.500004497684855,0.5000000349540923
17,0.352,1.50471,1.2186647281257539,0.726,1.04625,1.633520034782736,1.2537819685376337,1.2187057482021504,1.4303271784079854,0.5000053490399518,0.49999988628366554
18,0.343,1.48971,1.232949368036801,0.706,1.02828,1.6685503978080904,1.267879386127915,1.232992090193315,1.4436746070661841,0.5000061178836963,0.4999998664069596
19,0.331,1.47696,1.246301188290883,0.687,1.03461,1.6644632628637241,1.2806850727558832,1.246341442065804,1.4534014957730692,0.5000039655123528,0.5000001056782404
20,0.325,1.46386,1.258820517712147,0.67,1.0148,1.7025394196473236,1.2930454467479033,1.2588658765108542,1.4650233049735504,0.5000052651328539,0.49999989112716225
21,0.317,1.45239,1.2705978901842958,0.654,1.00377,1.7265612006649298,1.304528811780354,1.2706405718101215,1.474866536632715,0.5000066636958881,0.50000005617981
22,0.312,1.4411,1.2817086506081719,0.638,1.04736,1.6597957433210828,1.3146187856813007,1.281752343926656,1.4789700635730687,0.5000069230157481,0.5000002916048019
23,0.305,1.43119,1.2922139406541198,0.624,1.04583,1.6666861118838017,1.3247705022753216,1.2922578732494,1.4872301925032392,0.5000057672188762,0.499999998596099
24,0.298,1.42204,1.3021694207322605,0.611,1.04077,1.6789527654763012,1.3344573351047069,1.3022094713009102,1.4955420654118705,0.5000079282035284,0.5000000055291978
25,0.292,1.41331,1.3116280243245306,0.599,1.02698,1.7053921884795904,1.343795687680742,1.3116640911824184,1.5043982296722131,0.5000053311934439,0.4999997998157999
26,0.28800000000000003,1.40469,1.3206261427015482,0.587,1.04046,1.687141908122149,1.3522261499970583,1.3206655426156362,1.5095400762041842,0.5000078652810483,0.5000002866125957
27,0.28500000000000003,1.39637,1.329210980178203,0.5760000000000001,1.04072,1.6902436163343038,1.3604726896582637,1.3292459804855945,1.5159581111895202,0.500006164576302,0.49999991897236284
28,0.276,1.39006,1.3374029440394206,0.5660000000000001,1.02577,1.7181275234455777,1.3686098986515123,1.3374396770464263,1.523995921061089,0.5000037162373733,0.49999995698257493
29,0.273,1.38271,1.3452353251162112,0.556,1.03197,1.7110352074751232,1.376042323725719,1.345277826420066,1.5291463238582361,0.500006646237205,0.5000000892226097
30,0.268,1.37627,1.352741106801793,0.547,1.01465,1.7431991357198076,1.3835101813845492,1.3527790954614842,1.5365386005390458,0.5000074075352181,0.4999998596875126
