n,Proposed Method NCMMP,Bothe NCMMP,Pearn NCMMP,Tai NCMMP,Proposed Method Millon NC,Bothe Millon NC,Pearn Millon NC,Tai Millon NC
2,0.08071603062206756,0.15687995463802906,0.3323484466089295,0.43202476910273213,80716.03062206756,156879.95463802907,332348.4466089295,432024.7691027321
3,0.03394601133369313,0.07627807677888221,0.11370479026762115,0.1861046824293382,33946.011333693124,76278.07677888221,113704.79026762115,186104.6824293382
4,0.01811086373103099,0.043427639764216375,0.05259402579412287,0.09766015625937441,18110.86373103099,43427.63976421637,52594.02579412287,97660.1562593744
5,0.011130945102331147,0.02757798619806473,0.029114595110440344,0.05826267995065226,11130.945102331147,27577.98619806473,29114.595110440343,58262.679950652266
6,0.007508014260523721,0.018880092454407693,0.01817672326660924,0.0380438738852813,7508.014260523721,18880.09245440769,18176.72326660924,38043.8738852813
7,0.0054064373532571874,0.013656052123632412,0.012326283890677026,0.026503900308345818,5406.437353257187,13656.052123632411,12326.283890677025,26503.90030834582
8,0.0040852239183759576,0.010331429911167422,0.00885019755143901,0.019390371435860976,4085.2239183759575,10331.429911167423,8850.19755143901,19390.371435860976
9,0.003202682159737069,0.008084376143560945,0.006655802842413516,0.014757556573515629,3202.682159737069,8084.376143560945,6655.802842413516,14757.556573515629
10,0.002584608504384134,0.006458299006450785,0.005211379649607384,0.011567135076138158,2584.608504384134,6458.299006450785,5211.379649607384,11567.135076138158
11,0.0021350319372628324,0.005308553965819973,0.004173771364498924,0.009305301886511241,2135.0319372628323,5308.553965819973,4173.7713644989235,9305.30188651124
12,0.0017976912008277335,0.00441843904161332,0.0034379018440551246,0.007635965321605154,1797.6912008277334,4418.43904161332,3437.9018440551245,7635.965321605154
13,0.0015380361724699476,0.0037761813350969398,0.002854030076716585,0.006377988728857309,1538.0361724699476,3776.1813350969396,2854.030076716585,6377.988728857309
14,0.0013336789623881184,0.0032384183122504684,0.0024338741964891053,0.005409705940387255,1333.6789623881184,3238.4183122504683,2433.874196489105,5409.705940387255
15,0.0011706425662252329,0.0028289847651699063,0.0020887119518138153,0.004645605610710923,1170.642566225233,2828.9847651699065,2088.711951813815,4645.605610710923
16,0.0010365020529359281,0.0024867454511188214,0.00181616884657676,0.00402917082282972,1036.502052935928,2486.7454511188216,1816.16884657676,4029.17082282972
17,0.0009263114074229417,0.002207246273822072,0.0015966647329705985,0.0035326243599083096,926.3114074229417,2207.246273822072,1596.6647329705986,3532.6243599083095
18,0.0008341267207250258,0.0019782090331090796,0.001414332596061385,0.0031260364248968386,834.1267207250258,1978.2090331090797,1414.3325960613852,3126.0364248968385
19,0.0007562302662675879,0.0017748707369262817,0.0012686010081781607,0.00278378411381186,756.2302662675879,1774.8707369262818,1268.6010081781608,2783.78411381186
20,0.0006897253527937686,0.001610735858808443,0.0011413067227710183,0.0024995003903012236,689.7253527937686,1610.735858808443,1141.3067227710183,2499.5003903012234
21,0.0006324666842809634,0.001463317151434218,0.001037599652847332,0.0022570323441739593,632.4666842809634,1463.317151434218,1037.599652847332,2257.0323441739592
22,0.0005827552712152073,0.0013375344902621933,0.000946669744222639,0.0020478667672176876,582.7552712152074,1337.5344902621932,946.6697442226391,2047.8667672176875
23,0.0005392835796691475,0.0012368397454867175,0.000862201555608122,0.0018686104728238284,539.2835796691476,1236.8397454867174,862.2015556081219,1868.6104728238283
24,0.0005010682390598209,0.0011357921376335955,0.0007971368245740518,0.0017107643389753235,501.0682390598209,1135.7921376335955,797.1368245740517,1710.7643389753234
25,0.0004672369833409462,0.0010498860209986471,0.0007394580617214874,0.0015758252697626318,467.2369833409462,1049.8860209986472,739.4580617214874,1575.8252697626317
26,0.0004371270661021054,0.0009827451632622441,0.0006807539526965112,0.0014547956468144996,437.1270661021054,982.7451632622442,680.7539526965112,1454.7956468144996
27,0.0004102106843111297,0.0009139649722702536,0.0006365645364820871,0.0013500326479638503,410.21068431112974,913.9649722702536,636.5645364820871,1350.0326479638502
28,0.00038602445819191367,0.0008530149905363604,0.0005955055443969126,0.0012545217451971347,386.02445819191365,853.0149905363604,595.5055443969126,1254.5217451971346
29,0.000364195067063644,0.0007987430179206001,0.0005593110525634604,0.0011709560146828668,364.19506706364405,798.7430179206001,559.3110525634604,1170.956014682867
30,0.0003444340862570616,0.0007567814626505687,0.0005214286458954387,0.0010955790339559623,344.4340862570616,756.7814626505686,521.4286458954386,1095.5790339559624
