n,Proposed Method NCMMP,Bothe NCMMP,Pearn NCMMP,Tai NCMMP,Proposed Method Millon NC,Bothe Millon NC,Pearn Millon NC,Tai Millon NC
2,0.049288592004182785,0.11867087506665941,0.2236469469988176,0.3341552904239933,49288.592004182785,118670.87506665941,223646.94699881758,334155.29042399325
3,0.020054809806747453,0.053650950591456414,0.06927200809987011,0.1316769739800452,20054.809806747453,53650.950591456414,69272.0080998701,131676.97398004518
4,0.01014199477529587,0.028641207195336582,0.029598089489240254,0.06406580210561752,10141.99477529587,28641.20719533658,29598.089489240254,64065.80210561752
5,0.0058175577906316445,0.016684095216542127,0.015306304939036952,0.03531565724202412,5817.557790631645,16684.095216542126,15306.304939036952,35315.65724202412
6,0.003635359972981478,0.010529398938587287,0.008810172552558893,0.02122943949121292,3635.3599729814778,10529.398938587286,8810.172552558892,21229.43949121292
7,0.0024187055768398746,0.007043472467173739,0.005481291070575489,0.013612674625696375,2418.7055768398745,7043.4724671737395,5481.291070575489,13612.674625696374
8,0.0016886647059453086,0.004870581111296346,0.0036633396000043117,0.009178179560366484,1688.6647059453087,4870.581111296346,3663.3396000043117,9178.179560366483
9,0.0012248330129998042,0.003516945313159159,0.0025449192578510527,0.006442594968581572,1224.8330129998042,3516.945313159159,2544.919257851053,6442.594968581572
10,0.0009164784215573984,0.0026064249662467454,0.0018423169091503766,0.0046743624066230005,916.4784215573984,2606.4249662467455,1842.3169091503767,4674.362406623
11,0.0007036583206712077,0.0019674056091645298,0.001384743947639322,0.0034864806845544827,703.6583206712077,1967.4056091645298,1384.743947639322,3486.4806845544827
12,0.0005521685642604357,0.0015369574174333156,0.0010530106834327757,0.0026621919190878973,552.1685642604357,1536.9574174333156,1053.0106834327757,2662.1919190878975
13,0.0004414223958282282,0.0012164607542686223,0.0008228763424005248,0.002074180528384817,441.42239582822816,1216.4607542686224,822.8763424005248,2074.180528384817
14,0.0003586009851845873,0.0009695580353326072,0.0006613679404696704,0.0016445941900560257,358.6009851845873,969.5580353326072,661.3679404696704,1644.5941900560256
15,0.0002954740412735024,0.0007964835541687254,0.0005310560974398637,0.0013241523252334186,295.4740412735024,796.4835541687254,531.0560974398637,1324.1523252334187
16,0.00024647918162346016,0.0006571365514438376,0.00043622060626513637,0.0010807091528288737,246.47918162346016,657.1365514438377,436.2206062651364,1080.7091528288738
17,0.000207883094098138,0.0005495692059966917,0.0003618844144075428,0.0008927360519885852,207.88309409813797,549.5692059966917,361.8844144075428,892.7360519885851
18,0.00017705732215356207,0.00046303747012643726,0.00030438217175299265,0.0007454748014068535,177.05732215356207,463.03747012643726,304.38217175299263,745.4748014068535
19,0.0001521429533026808,0.0003934420628330937,0.00025872898657963717,0.0006285959542384756,152.14295330268078,393.4420628330937,258.7289865796372,628.5959542384755
20,0.00013177369892414248,0.0003359069158406225,0.00022268284904258806,0.0005347337617622738,131.77369892414248,335.9069158406225,222.68284904258806,534.7337617622738
21,0.00011496660430987404,0.00029226967554629724,0.00019088876170703095,0.0004585467328039883,114.96660430987404,292.2696755462972,190.88876170703094,458.5467328039883
22,0.0001009648983008038,0.00025446567810072374,0.0001659143762307025,0.00039610177430793314,100.9648983008038,254.46567810072372,165.9143762307025,396.10177430793317
23,8.920271508494615e-05,0.00022146197013639402,0.00014619549927408215,0.00034446229509321746,89.20271508494615,221.46197013639403,146.19549927408215,344.46229509321745
24,7.925270281083918e-05,0.00019558898017035808,0.0001284041521998347,0.0003014076599732185,79.25270281083918,195.58898017035807,128.4041521998347,301.40765997321853
25,7.076647868498043e-05,0.00017243142495693142,0.00011425664116226919,0.00026523890069762857,70.76647868498043,172.43142495693144,114.25664116226919,265.23890069762854
26,6.349444868813947e-05,0.0001541617472040624,0.00010123439728393357,0.00023464209253876156,63.49444868813947,154.1617472040624,101.23439728393357,234.64209253876157
27,5.7213834897096305e-05,0.00013858004667643975,9.003824097275626e-05,0.00020859092047609273,57.213834897096305,138.58004667643974,90.03824097275626,208.59092047609272
28,5.1768543784191934e-05,0.00012383137286109402,8.131544393230605e-05,0.0001862762848341415,51.768543784191934,123.83137286109402,81.31544393230605,186.2762848341415
29,4.7017022882789306e-05,0.00011178660931809858,7.325857263751345e-05,0.00016705482622603185,47.017022882789306,111.78660931809858,73.25857263751345,167.05482622603185
30,4.2852426083150874e-05,0.00010135820730772238,6.620787662070526e-05,0.000150410861262662,42.852426083150874,101.35820730772238,66.20787662070526,150.41086126266202
