n,Bothe_k1,Bothe_k2,Bothe_cpk,Bothe_Power,Pearn_k1,Pearn_k2,Pearn_cpk,Pearn_Power,Tai_k1,Tai_k2,Tai_cpk,Tai_Power
2,2.1213203435596424,1.0,0.47076637093553136,0.500544368652219,0.0,4.842967470356642,0.2432131042241626,0.7678083572061596,2.1213203435596424,4.842967470356642,0.09720618067683687,0.8038447233246448
3,1.7320508075688774,1.0,0.6005228829324534,0.5006832560718615,0.0,3.0846860592845156,0.38184539025513786,0.6653894225423778,1.7320508075688774,3.0846860592845156,0.19467876840333728,0.7629409588597659
4,1.5,1.0,0.6778731521220792,0.5007506866648799,0.0,2.5516704397342074,0.46160865203453605,0.6198573059712801,1.5,2.5516704397342074,0.2656585825372846,0.7546757185452144
5,1.3416407864998738,1.0,0.730659556622121,0.5007880256890453,0.0,2.2804056990376176,0.5165191231626759,0.59416165801892,1.3416407864998738,2.2804056990376176,0.3204077050546207,0.75212765728262
6,1.2247448713915892,1.0,0.7696248616582159,0.5008103110326487,0.0,2.111317959167742,0.5578852521987658,0.5776709670684941,1.2247448713915892,2.111317959167742,0.36452342875044436,0.7511213962602787
7,1.1338934190276817,1.0,0.7999086791128521,0.5008299140231298,0.0,1.9937342137353726,0.59078745000582,0.5661987971254988,1.1338934190276817,1.9937342137353726,0.4012112916566639,0.750654349802965
8,1.0606601717798212,1.0,0.8243197615288055,0.5008563201261536,0.0,1.9061649117806299,0.6179282520848512,0.5577621361456073,1.0606601717798212,1.9061649117806299,0.4324493418351581,0.7504114272761924
9,1.0,1.0,0.844539818788746,0.5008861168460784,0.0,1.8378134956822336,0.6409100569178423,0.5513003022842062,1.0,1.8378134956822336,0.4595351055876514,0.7502739026729337
10,0.9486832980505138,1.0,0.8616453861052414,0.5009158320695659,0.0,1.7826086988970293,0.6607581085242521,0.5461946288414777,0.9486832980505138,1.7826086988970293,0.4833620449840594,0.7501907679528789
11,0.9045340337332909,1.0,0.8763618075443157,0.5009438153045421,0.0,1.7368498085501511,0.6781663827946747,0.5420600349982407,0.9045340337332909,1.7368498085501511,0.5045697119176157,0.7501378131529782
12,0.8660254037844387,1.0,0.8891980175272662,0.50096948211993,0.0,1.698139930941199,0.6936254961446195,0.5386443639097249,0.8660254037844387,1.698139930941199,0.5236305921117028,0.750102610263418
13,0.8320502943378437,1.0,0.9005230540094644,0.5009927495288234,0.0,1.6648512818091992,0.7074945161720876,0.5357756329204909,0.8320502943378437,1.6648512818091992,0.5409030006757499,0.7500783617318689
14,0.8017837257372732,1.0,0.9106119102096548,0.5010137479393728,0.0,1.6358355079005773,0.7200437613887936,0.5333325473704227,0.8017837257372732,1.6358355079005773,0.5566647170890241,0.7500611495434555
15,0.7745966692414834,1.0,0.9196742623749182,0.5010326856060816,0.0,1.6102567662000224,0.7314815729057254,0.5312271296986013,0.7745966692414834,1.6102567662000224,0.57113516408021,0.7500486136546618
16,0.75,1.0,0.9278731521220789,0.5010497871673745,0.0,1.5874905806270536,0.7419717423815032,0.529394029741174,0.75,1.5874905806270536,0.5844904930116638,0.7500392780131591
17,0.7276068751089989,1.0,0.9353375270857462,0.501065267162238,0.0,1.5670599404220096,0.7516452445366433,0.527783699707298,0.7276068751089989,1.5670599404220096,0.5968741226540828,0.7500321889857681
18,0.7071067811865476,1.0,0.9421708917265631,0.501079319901858,0.0,1.5485934767657634,0.7606083648124792,0.5263578969977158,0.7071067811865476,1.5485934767657634,0.6084042751453961,0.7500267127616581
19,0.6882472016116852,1.0,0.9484574182515172,0.5010921168685528,0.0,1.5317972492835101,0.7689484706106,0.5250866388002229,0.6882472016116852,1.5317972492835101,0.619179476066531,0.7500224174605887
20,0.6708203932499369,1.0,0.9542663543721001,0.5011038074415027,0.0,1.5164352085534876,0.7767381985582099,0.5239460898826491,0.6708203932499369,1.5164352085534876,0.6292826419417981,0.7500190022187123
21,0.6546536707079772,1.0,0.9596552618860866,0.5011145209504272,0.0,1.5023153530898763,0.7840385506940983,0.5229170663634429,0.6546536707079772,1.5023153530898763,0.6387841673270014,0.7500162532617363
22,0.6396021490668313,1.0,0.9646724357664684,0.5011243691176592,0.0,1.489279720786181,0.7909012227066973,0.521983955735325,0.6396021490668313,1.489279720786181,0.6477442902782724,0.7500140159774542
23,0.6255432421712244,1.0,0.9693587380650043,0.5011334484628795,0.0,1.4771970214760863,0.797370381200127,0.5211339241024535,0.6255432421712244,1.4771970214760863,0.6562149286602098,0.7500121767319633
24,0.6123724356957946,1.0,0.9737490068901475,0.5011418424942162,0.0,1.4659571257609585,0.803484038805474,0.5203563253826462,0.6123724356957946,1.4659571257609585,0.6642411225940101,0.7500106507858688
25,0.6,1.0,0.9778731521220793,0.5011496236290245,0.0,1.4554668822922763,0.8092751311984488,0.519642254920988,0.6,1.4554668822922763,0.6718621797714734,0.7500093741012359
26,0.5883484054145521,1.0,0.9817570169838948,0.501156854843096,0.0,1.445646901439712,0.8147723700365848,0.5189842079849135,0.5883484054145521,1.445646901439712,0.6791125938195339,0.7500082976922231
27,0.5773502691896257,1.0,0.9854230623922037,0.5011635910707382,0.0,1.4364290524346957,0.8200009252984869,0.5183758154956402,0.5773502691896257,1.4364290524346957,0.6860227873572642,0.7500073836657997
28,0.5669467095138409,1.0,0.9888909156174653,0.5011698803863504,0.0,1.4277544944203853,0.8249829762225693,0.5178116373741445,0.5669467095138409,1.4277544944203853,0.6926197182232776,0.7500066024059728
29,0.5570860145311556,1.0,0.9921778139450271,0.501175764999003,0.0,1.4195721119913898,0.8297381599514145,0.517286999373783,0.5570860145311556,1.4195721119913898,0.6989273778795149,0.7500059305439428
30,0.5477225575051661,1.0,0.9952989662870237,0.5011812820891688,0.0,1.4118372606674316,0.8342839397546794,0.5167978630945731,0.5477225575051661,1.4118372606674316,0.704967204092989,0.7500053494763941
