n,Bothe_k1,Bothe_k2,Bothe_cpk,Bothe_Power,Pearn_k1,Pearn_k2,Pearn_cpk,Pearn_Power,Tai_k1,Tai_k2,Tai_cpk,Tai_Power
2,2.1213203435596424,1.0,0.47076637093553136,0.5013500009839238,0.0,4.7487878411719375,0.24803659197194117,0.7637783399619381,2.1213203435596424,4.7487878411719375,0.09913400781015994,0.8016041533501499
3,1.7320508075688774,1.0,0.6005228829324534,0.5013500009839238,0.0,3.0868959640314273,0.3815720276441708,0.6655625759361286,1.7320508075688774,3.0868959640314273,0.1945393981299525,0.762982906583259
4,1.5,1.0,0.6778731521220792,0.5013500009839238,0.0,2.5700466163085234,0.45830808851783117,0.6215458300377232,1.5,2.5700466163085234,0.26375908818951294,0.7548912384575299
5,1.3416407864998738,1.0,0.730659556622121,0.5013500009839238,0.0,2.3027074083980956,0.5115166381218532,0.5963190941629368,1.3416407864998738,2.3027074083980956,0.31730455808556784,0.7522926468282709
6,1.2247448713915892,1.0,0.7696248616582159,0.5013500009839238,0.0,2.134206337902214,0.5519021901508604,0.5799103613095062,1.2247448713915892,2.134206337902214,0.36061408308566223,0.7512333539742271
7,1.1338934190276817,1.0,0.7999086791128521,0.5013500009839238,0.0,2.0161007085482545,0.5842332910890335,0.5683726903740209,1.1338934190276817,2.0161007085482545,0.39676027875058234,0.7507299876276123
8,1.0606601717798212,1.0,0.8243197615288055,0.5013500009839238,0.0,1.9276302370662863,0.611047248311853,0.5598165940373918,1.0606601717798212,1.9276302370662863,0.42763375759417455,0.7504635705791921
9,1.0,1.0,0.844539818788746,0.5013500009839238,0.0,1.8582719353906612,0.6338540284064813,0.5532200083111878,1.0,1.8582719353906612,0.4544759045780885,0.7503107702272807
10,0.9486832980505138,1.0,0.8616453861052414,0.5013500009839238,0.0,1.802064337258263,0.653624361666324,0.5479805797675434,0.9486832980505138,1.802064337258263,0.4781435203452199,0.7502174935499851
11,0.9045340337332909,1.0,0.8763618075443157,0.5013500009839238,0.0,1.7553507714875944,0.671018676867573,0.5437199068802524,0.9045340337332909,1.7553507714875944,0.4992516719616283,0.7501576381097245
12,0.8660254037844387,1.0,0.8891980175272662,0.5013500009839238,0.0,1.7157501598972131,0.6865062173111748,0.5401881960036661,0.8660254037844387,1.7157501598972131,0.5182561181171833,0.7501176248836858
13,0.8320502943378437,1.0,0.9005230540094644,0.5013500009839238,0.0,1.6816380261312245,0.7004320393681234,0.5372138733400548,0.8320502943378437,1.6816380261312245,0.5355035031416405,0.7500899463648724
14,0.8017837257372732,1.0,0.9106119102096548,0.5013500009839238,0.0,1.6518638130434842,0.71305705883338,0.5346751897622739,0.8017837257372732,1.6518638130434842,0.5512633081609153,0.7500702372697026
15,0.7745966692414834,1.0,0.9196742623749182,0.5013500009839238,0.0,1.62558720078068,0.7245831854214967,0.5324833659990904,0.7745966692414834,1.62558720078068,0.565748956397571,0.7500558492561044
16,0.75,1.0,0.9278731521220789,0.5013500009839238,0.0,1.602178492176334,0.7351697441164025,0.5305721485123132,0.75,1.602178492176334,0.5791321982244898,0.7500451162126118
17,0.7276068751089989,1.0,0.9353375270857462,0.5013500009839238,0.0,1.5811554292069605,0.7449445705112302,0.5288910991221427,0.7276068751089989,1.5811554292069605,0.5915531830762971,0.7500369565107213
18,0.7071067811865476,1.0,0.9421708917265631,0.5013500009839238,0.0,1.5621416928388001,0.7540117247505189,0.5274011480161221,0.7071067811865476,1.5621416928388001,0.6031276778833066,0.7500306484120631
19,0.6882472016116852,1.0,0.9484574182515172,0.5013500009839236,0.0,1.5448388178209838,0.7624569880911495,0.526071566681854,0.6882472016116852,1.5448388178209838,0.6139523472030107,0.7500256985145152
20,0.6708203932499369,1.0,0.9542663543721001,0.5013500009839238,0.0,1.5290066875580521,0.770351864191803,0.5248778585269711,0.6708203932499369,1.5290066875580521,0.6241086858136252,0.7500217621734332
21,0.6546536707079772,1.0,0.9596552618860866,0.5013500009839238,0.0,1.5144496775840661,0.7777565471842469,0.5238002582665244,0.6546536707079772,1.5144496775840661,0.6336659950411703,0.7500185939701831
22,0.6396021490668313,1.0,0.9646724357664684,0.501350000983924,0.0,1.5010066131860142,0.7847221602987766,0.5228226445689813,0.6396021490668313,1.5010066131860142,0.6426836679412552,0.7500160160868233
23,0.6255432421712244,1.0,0.9693587380650043,0.5013500009839238,0.0,1.4885433608841885,0.7912924695874681,0.5219317390732363,0.6255432421712244,1.4885433608841885,0.6512129666744872,0.7500138976498028
24,0.6123724356957946,1.0,0.9737490068901475,0.5013500009839238,0.0,1.4769472754086599,0.7975052134451927,0.5211165075189784,0.6123724356957946,1.4769472754086599,0.6592984212119005,0.7500121409493314
25,0.6,1.0,0.9778731521220793,0.5013500009839238,0.0,1.4661229774853055,0.8033931465574379,0.5203677059497474,0.6,1.4661229774853055,0.6669789418342843,0.7500106720808246
26,0.5883484054145521,1.0,0.9817570169838948,0.5013500009839238,0.0,1.4559891016437136,0.8089848686314614,0.519677532594138,0.5883484054145521,1.4559891016437136,0.6742887126528333,0.7500094344722879
27,0.5773502691896257,1.0,0.9854230623922037,0.5013500009839238,0.0,1.4464757615218282,0.8143054888682311,0.5190393578179944,0.5773502691896257,1.4464757615218282,0.6812579156912012,0.750008384340647
28,0.5669467095138409,1.0,0.9888909156174653,0.5013500009839238,0.0,1.4375225530078077,0.8193771636191378,0.5184475124728697,0.5669467095138409,1.4375225530078077,0.6879133225063874,0.7500074874547957
29,0.5570860145311556,1.0,0.9921778139450271,0.5013500009839238,0.0,1.4290769655010338,0.8242195350962902,0.5178971204352024,0.5570860145311556,1.4290769655010338,0.6942787812671587,0.7500067167988104
30,0.5477225575051661,1.0,0.9952989662870237,0.5013500009839238,0.0,1.4210931063526364,0.8288500921274587,0.5173839649448017,0.5477225575051661,1.4210931063526364,0.7003756205964212,0.7500060508641011
