n,k1 min,k2 min,cpk min,k1 max,k2 max,cpk max,cpk mean,cpk pct 025,cpk pct 975,power min,power max
2,1.748,2.21632,0.2685562037320479,0.0,2.94553,0.3998849620007534,0.31550894347707614,0.2686545134046199,0.3942855686771584,0.499928233427541,0.49992998408643796
3,1.33,2.05317,0.357758889321754,1.73,1.00691,0.597080658107887,0.3961432363023276,0.35783754108023824,0.4640094320096245,0.5000154690183051,0.5000002701597835
4,1.102,1.95342,0.41493371563142883,1.498,1.02298,0.6632972480290386,0.44902525546644356,0.41499973900466797,0.5099578418904146,0.499966790361151,0.5000030502336359
5,0.9530000000000001,1.88637,0.45601153827478824,1.34,1.01127,0.7230576260102767,0.4875697654097368,0.45607075645449124,0.5435334256933912,0.5000506548324343,0.5000039182454149
6,0.849,1.83547,0.4875444175726539,1.223,1.03037,0.7475047657204812,0.5172900195468686,0.4875982654297123,0.578647806660824,0.5000093959438827,0.50000022080169
7,0.77,1.79632,0.5128298329114037,1.1320000000000001,1.04716,0.7644866293486625,0.5412069383502683,0.5128810392360166,0.6070950984854427,0.5000219321332546,0.500001107408323
8,0.709,1.76401,0.533749705947668,1.059,1.04004,0.7931167571651849,0.5611305153926753,0.5337985467619393,0.6310088572058984,0.5000750842181769,0.5000000560041284
9,0.657,1.73877,0.5514663538720355,0.998,1.06283,0.7952414642561956,0.577911178836215,0.551511649963329,0.6500800597472054,0.49996457018108764,0.49999762346569343
10,0.615,1.71659,0.5667475355921211,0.9470000000000001,1.05134,0.8201024268603992,0.5925569972944301,0.5667935110400135,0.6675917093949658,0.5000295035796781,0.49999959307221664
11,0.58,1.69713,0.5801204496937453,0.903,1.04679,0.8376781896293231,0.6053654902569412,0.5801643246673587,0.6825954699262158,0.4999488168899433,0.49999970419015627
12,0.55,1.68006,0.5919668457011927,0.865,1.00745,0.8829617537235058,0.6168574043267869,0.5920085697938199,0.6966874787810965,0.4999896870438202,0.5000003809382179
13,0.523,1.66545,0.602563762820106,0.8310000000000001,1.01626,0.8864593235216175,0.6269893175960812,0.6026055112500011,0.708176638252967,0.49999437895123566,0.49999957191160926
14,0.498,1.65305,0.6121249521321673,0.8,1.068,0.8531895931230455,0.6359045309272376,0.6121675885233858,0.7167524223973758,0.49992396041968146,0.49999694223059166
15,0.47700000000000004,1.64127,0.6207833885479409,0.773,1.06157,0.8668354281445523,0.6442522290922729,0.6208209644059465,0.7265100600921344,0.49998559776877904,0.4999988144460008
16,0.461,1.62891,0.6287680015810649,0.749,1.02294,0.9073909373525453,0.6521239254223014,0.6288030247299033,0.7366037849892597,0.5000688310710835,0.5000006692652335
17,0.44,1.6212,0.6360760458027463,0.726,1.06576,0.8781274884796569,0.658918444363472,0.6361163311127639,0.7428095368556734,0.5000711167667582,0.5000015462758223
18,0.426,1.61142,0.6428325030855266,0.706,1.03832,0.9077546602095172,0.6655863970413021,0.6428705891565937,0.751344412249046,0.499969293593557,0.5000002140996134
19,0.41200000000000003,1.60304,0.6491040889739157,0.687,1.0501,0.9036026589106552,0.6715576859450936,0.6491416365192236,0.7576054252405384,0.5000668041364946,0.5000022965563049
20,0.399,1.59535,0.6549491660902491,0.67,1.01307,0.9422249388381315,0.6773655925245671,0.6549850268716996,0.765024098934477,0.49994979709137144,0.4999992423703976
21,0.387,1.5882,0.6604162902166472,0.653,1.07339,0.8945550875780588,0.6822814635868871,0.6604518841940314,0.7683658546053769,0.4998971189501463,0.49999637482161485
22,0.377,1.58097,0.6655448777999662,0.638,1.07234,0.9000937067118755,0.6872316054210388,0.6655800068018362,0.7738626232338018,0.49996085636754894,0.49999890996867014
23,0.365,1.57556,0.6703689389521266,0.624,1.07086,0.9056955644267963,0.6918957132899968,0.6704053331050308,0.7790869275215263,0.4999275237874513,0.49999768709664016
24,0.355,1.56987,0.6749220118791658,0.611,1.06398,0.9156248101049007,0.6963435165647329,0.6749561031763477,0.784341632464116,0.5000781888126995,0.5000025684527025
25,0.34700000000000003,1.56385,0.6792253000322362,0.599,1.04264,0.9382015704897303,0.7006498920615989,0.6792582353521591,0.789973799920581,0.4999396040138462,0.49999826282593296
26,0.338,1.5589,0.6833064888417553,0.587,1.06483,0.9224068494082741,0.7044302972937806,0.6833387635125434,0.7931207424060454,0.5000381467503675,0.5000013185282595
27,0.33,1.55399,0.6871814825848811,0.5760000000000001,1.06585,0.9249642558728518,0.7081641512904825,0.6872129102062687,0.7971245487328918,0.4998837224591157,0.4999978186277788
28,0.324,1.54859,0.6908692114259289,0.5660000000000001,1.04243,0.9489428407235138,0.7119023753127667,0.6908994397653204,0.8022597216937275,0.500023644505315,0.500000871849088
29,0.317,1.54411,0.6943847818195676,0.556,1.05323,0.9423770864756469,0.7152271154870666,0.6944157731512629,0.8054127165549877,0.499938357675051,0.4999980763490872
30,0.309,1.54051,0.6977385100532156,0.547,1.0226,0.9735378630830687,0.7186588311996424,0.6977708442918631,0.8101499347869021,0.4999200407375588,0.49999740450726693
