n,k1 min,k2 min,cpk min,k1 max,k2 max,cpk max,cpk mean,cpk pct 025,cpk pct 975,power min,power max
2,1.748,2.21632,0.2685562037320479,0.0,2.94553,0.3998849620007534,0.31550894347707614,0.2686545134046199,0.3942855686771584,0.5000004816327529,0.5000008624659307
3,1.33,2.04067,0.3599503196444039,1.73,1.00678,0.5971577558706097,0.39846844350709343,0.3600278960190767,0.46673834656875357,0.5000007002667575,0.49999996537333724
4,1.105,1.92236,0.42111769844812924,1.498,1.02204,0.6639073018558431,0.45562389281134846,0.42118347598838946,0.5176707197020285,0.5000011818205206,0.5000000523141246
5,0.962,1.83612,0.4668575504081502,1.34,1.01051,0.7236014343800777,0.4991137787397889,0.46691912544910064,0.5569074628385287,0.500001832543777,0.4999999572988659
6,0.861,1.77042,0.5031987619446681,1.223,1.02772,0.7494322242005724,0.5338878918663317,0.5032561039586133,0.5900438627125472,0.5000015910722471,0.5000000114557066
7,0.787,1.71703,0.5332113118517124,1.1320000000000001,1.04221,0.7681175759096013,0.5627271824655143,0.5332656955916003,0.6215574653481226,0.5000029046810022,0.49999996456372164
8,0.728,1.67397,0.5586757740314418,1.059,1.03499,0.7969865912927457,0.5873375584758288,0.5587289762143915,0.6483146684399599,0.5000031789182087,0.49999994824932226
9,0.68,1.63798,0.5807192306715664,0.998,1.05419,0.8017591567510718,0.6085592592950531,0.5807697661548787,0.6701192418404766,0.5000015763146707,0.49999993297641077
10,0.641,1.60675,0.6000973925348765,0.9470000000000001,1.0433,0.8264223957207057,0.6273666243145445,0.6001486223537305,0.6900916801921532,0.5000022388890683,0.49999992675758864
11,0.607,1.58022,0.61734430572246,0.903,1.03868,0.8442187700948117,0.6440885332349596,0.6173952422134902,0.7074093119377753,0.5000032301502632,0.500000039092219
12,0.58,1.55572,0.6328515534856826,0.865,1.00574,0.8844630011620754,0.6592373584299427,0.6328996963674325,0.7235729488285364,0.5000032992284577,0.5000000264562353
13,0.555,1.53479,0.6469114029424738,0.8310000000000001,1.01251,0.8897424737751518,0.6728344246006477,0.6469580025903718,0.7371151699343661,0.5000015973049509,0.5000000483262568
14,0.533,1.51604,0.6597494033504474,0.8,1.05415,0.8643992652425297,0.6850556016154845,0.6597942856942368,0.7478434624902877,0.5000018108524121,0.5000001291405238
15,0.513,1.49934,0.6715442475503083,0.773,1.04814,0.8779423411523386,0.6965111104894623,0.671591349694869,0.7594161625267174,0.500001697633379,0.49999991938905697
16,0.496,1.48371,0.6824378205907797,0.749,1.01692,0.9127625432240614,0.7072194359095227,0.6824837352317036,0.7709696087754627,0.500005563419958,0.500000013463175
17,0.48,1.46975,0.6925484960857826,0.726,1.05026,0.891087113783329,0.7168159584835019,0.6925933503808481,0.7790443930599573,0.5000037514646758,0.4999998379355678
18,0.465,1.45715,0.7019683300429462,0.706,1.02822,0.9166713532014024,0.7260627694143058,0.7020157888187382,0.7889110969374987,0.50000536338954,0.4999998724938727
19,0.451,1.44565,0.7107804923658879,0.687,1.03695,0.9150616250755378,0.7345310600517151,0.7108222069222694,0.7966992759742676,0.500002432616967,0.4999999882330275
20,0.44,1.43413,0.7190467289962643,0.67,1.00867,0.9463350935278593,0.7426598895217382,0.7190914577259271,0.8052933583566625,0.5000064476085884,0.5000000264301493
21,0.428,1.42428,0.7268279309232825,0.653,1.05379,0.9111933928538063,0.7499095640307326,0.7268738631561839,0.8104010532367083,0.5000063076483381,0.500000209247172
22,0.418,1.41457,0.7341735077011007,0.638,1.05244,0.9171130757624307,0.7570080808712718,0.7342138363347541,0.8171529989057117,0.49999962353494476,0.4999997272657307
23,0.40700000000000003,1.40626,0.741119341697419,0.624,1.05083,0.9229591390825149,0.7637239802816436,0.7411624681461978,0.8235601938117275,0.5000057901980938,0.5000002567167112
24,0.399,1.39744,0.7477051981638417,0.611,1.04524,0.9320409527528725,0.7701231317945259,0.747750377507372,0.8298796415681245,0.5000059346110117,0.4999997502070703
25,0.392,1.38893,0.7539663521238741,0.599,1.02915,0.9504994271538769,0.7762723802999726,0.7540089407539612,0.8363898403471818,0.5000006857605344,0.4999999087903939
26,0.382,1.38243,0.7599226136504168,0.587,1.04502,0.9398925240238585,0.781900942890533,0.7599651082583461,0.8408320252401748,0.500005060531729,0.49999978342013085
27,0.375,1.37522,0.765603432266895,0.5760000000000001,1.04536,0.943094390566005,0.7873717789833116,0.7656464550547362,0.8458637167829096,0.5000066872768545,0.5000000074185853
28,0.369,1.36813,0.7710328346882819,0.5660000000000001,1.02818,0.962094657993165,0.792727594358505,0.7710748715727571,0.8516868176142923,0.5000006882767394,0.5000000274733936
29,0.36,1.36284,0.7762269614350029,0.556,1.03562,0.9584015553858999,0.7976764657640597,0.776263704436975,0.8558994050301477,0.5000029351744225,0.5000001756052455
30,0.355,1.3563,0.7811987162049295,0.547,1.01378,0.9820077519666457,0.8025977929808573,0.7812403580894469,0.8612392098342577,0.5000043143029504,0.5000000296114793
