n,Proposed Method NCMMP,Bothe NCMMP,Pearn NCMMP,Tai NCMMP,Proposed Method Millon NC,Bothe Millon NC,Pearn Millon NC,Tai Millon NC
2,0.420433952855376,0.5239769436474437,0.7069514249636848,0.7661972060763607,420433.952855376,523976.9436474437,706951.4249636848,766197.2060763607
3,0.2831470004784098,0.38023839603447396,0.4795748134051556,0.5632663178394663,283147.0004784098,380238.39603447396,479574.8134051556,563266.3178394664
4,0.21320485447167847,0.2978495956455789,0.3548724466356852,0.43907916565692817,213204.85447167847,297849.59564557887,354872.44663568516,439079.16565692815
5,0.1713012413960322,0.24523186245199557,0.27871688614647594,0.3575332539803313,171301.2413960322,245231.86245199558,278716.88614647597,357533.2539803313
6,0.14356775919310705,0.20842065781375618,0.22890269119636208,0.3007673217740092,143567.75919310705,208420.65781375617,228902.69119636208,300767.3217740092
7,0.1239289742028864,0.18157793021012902,0.19384355981010515,0.2592307852400728,123928.9742028864,181577.93021012904,193843.55981010516,259230.78524007282
8,0.1093217538099931,0.1609461829539045,0.16822550312688844,0.22767161136975478,109321.7538099931,160946.1829539045,168225.50312688845,227671.61136975477
9,0.09804645701615078,0.14507962149199738,0.148394324202048,0.2030529579071596,98046.45701615077,145079.6214919974,148394.324202048,203052.9579071596
10,0.08908530103970191,0.13210432228116153,0.132931195284272,0.183239403543912,89085.30103970191,132104.32228116153,132931.195284272,183239.403543912
11,0.08179558784294194,0.12134899604632476,0.12061765847756845,0.16708314651928458,81795.58784294194,121348.99604632477,120617.65847756845,167083.14651928458
12,0.07574931242838878,0.11233227367387455,0.11048785421645113,0.15359280530813035,75749.31242838879,112332.27367387454,110487.85421645113,153592.80530813037
13,0.07065456119630631,0.10477644731919633,0.10194751009467917,0.14221385400948705,70654.56119630631,104776.44731919633,101947.51009467918,142213.85400948706
14,0.06630223559975512,0.09841164506148825,0.09461045378677069,0.13250802385177307,66302.23559975512,98411.64506148825,94610.45378677068,132508.02385177306
15,0.0625537486612977,0.09275724389984052,0.08844703785586105,0.1241029848254771,62553.7486612977,92757.24389984053,88447.03785586105,124102.9848254771
16,0.059253999930091394,0.08747230007550555,0.08335421921910702,0.1167216328798244,59253.99993009139,87472.30007550555,83354.21921910702,116721.6328798244
17,0.05636173642282283,0.08348308155828255,0.07829396725871751,0.11026880782141602,56361.736422822825,83483.08155828255,78293.96725871752,110268.80782141602
18,0.05379327375666931,0.07942178861543558,0.07434267300517172,0.10457278016859561,53793.27375666931,79421.78861543558,74342.67300517172,104572.78016859561
19,0.051497308938316166,0.07590033303022414,0.07068376534833432,0.09944524658699039,51497.308938316164,75900.33303022414,70683.76534833432,99445.24658699038
20,0.04943189083054578,0.07273904763935213,0.06743945052693112,0.09488883146045723,49431.89083054578,72739.04763935212,67439.45052693112,94888.83146045724
21,0.04756337112527298,0.06987464101884866,0.06451064929814421,0.09076270726973701,47563.37112527298,69874.64101884866,64510.649298144206,90762.707269737
22,0.04586488771635655,0.06717031935778706,0.06193681805694906,0.08699783927816584,45864.88771635655,67170.31935778706,61936.81805694906,86997.83927816585
23,0.04431417530463322,0.06492977265548228,0.05939406518708479,0.08358614995370028,44314.175304633216,64929.77265548227,59394.06518708479,83586.14995370028
24,0.04289139419931409,0.06276946272506168,0.05714308645966715,0.08043067531296355,42891.39419931409,62769.462725061676,57143.086459667145,80430.67531296355
25,0.04158235589354087,0.06066960622073303,0.05522799869673434,0.07758515226040164,41582.355893540866,60669.60622073303,55227.998696734336,77585.15226040164
26,0.04037229024174427,0.05884809535488711,0.05331945795906701,0.07492158361728962,40372.29024174427,58848.09535488711,53319.457959067004,74921.58361728962
27,0.03925112761170957,0.05712236041873653,0.05162788542887209,0.07250145075744197,39251.12761170957,57122.36041873653,51627.88542887209,72501.45075744197
28,0.03820880998080911,0.055400094635334796,0.050134172205068994,0.07021083896174996,38208.809980809114,55400.0946353348,50134.17220506899,70210.83896174995
29,0.03723715705045927,0.05389627309233269,0.04867982589563802,0.06811540818657158,37237.15705045927,53896.27309233269,48679.825895638016,68115.40818657159
30,0.036329919018690315,0.05259246084112523,0.04722410288150081,0.06615297323655023,36329.919018690314,52592.460841125234,47224.10288150081,66152.97323655023
