n,Proposed Method NCMMP,Bothe NCMMP,Pearn NCMMP,Tai NCMMP,Proposed Method Millon NC,Bothe Millon NC,Pearn Millon NC,Tai Millon NC
2,0.35373242819836337,0.47887851887712785,0.6321776756193767,0.7147459377442043,353732.42819836334,478878.51887712785,632177.6756193767,714745.9377442043
3,0.23603201451475275,0.3381136627362229,0.4149408263914587,0.509886521969769,236032.01451475275,338113.6627362229,414940.8263914587,509886.52196976903
4,0.17466200748571659,0.2582424992446377,0.298995649872666,0.387017396478595,174662.00748571657,258242.4992446377,298995.64987266605,387017.39647859504
5,0.13715555436551008,0.20637904866424495,0.22898885327409046,0.3065001106004819,137155.5543655101,206379.04866424494,228988.85327409048,306500.11060048186
6,0.11203741838830594,0.1704458459467002,0.18275440309055213,0.2504437486248192,112037.41838830594,170445.8459467002,182754.40309055214,250443.7486248192
7,0.09414876914351944,0.14433451221986004,0.1502681416740932,0.20962029616560374,94148.76914351944,144334.51221986004,150268.1416740932,209620.29616560374
8,0.08083044323961164,0.12396771859067268,0.1270733080519757,0.17883210868998622,80830.44323961163,123967.71859067268,127073.30805197569,178832.10868998623
9,0.07057220551055865,0.10851861944135588,0.10905671384455218,0.15495273804999377,70572.20551055865,108518.61944135588,109056.71384455217,154952.73804999376
10,0.06245649202725212,0.09605309333726075,0.09514150500772622,0.13600167590371903,62456.49202725212,96053.09333726075,95141.50500772623,136001.67590371903
11,0.05589513888413866,0.08599786825166267,0.08395391696965837,0.12067060991018397,55895.138884138665,85997.86825166267,83953.91696965837,120670.60991018396
12,0.05049408933464283,0.07733526559200099,0.07519814208745434,0.10806471386716199,50494.089334642835,77335.26559200099,75198.14208745434,108064.71386716199
13,0.04597989238248723,0.07030149517807871,0.06773871041525381,0.09755376426737672,45979.89238248723,70301.49517807871,67738.71041525381,97553.76426737673
14,0.04215774222173696,0.06423267903883279,0.061586377197656805,0.08868262960599083,42157.74222173696,64232.679038832786,61586.3771976568,88682.62960599082
15,0.038885646275187424,0.059224349551754374,0.0561806669507432,0.08111541736603867,38885.64627518743,59224.34955175437,56180.666950743194,81115.41736603867
16,0.03605577614703637,0.05473052283535851,0.05170196736584409,0.07459948900215063,36055.77614703637,54730.52283535851,51701.967365844095,74599.48900215063
17,0.03358816873707271,0.050858193804121266,0.04778268337988689,0.06894162012008853,33588.16873707271,50858.19380412126,47782.68337988689,68941.62012008853
18,0.0314189425901088,0.04748372712467175,0.04433692526218458,0.06399181501789553,31418.9425901088,47483.72712467175,44336.92526218458,63991.815017895526
19,0.029498506748090847,0.04458186336031589,0.04122968685781103,0.05963207677670446,29498.506748090847,44581.86336031589,41229.68685781103,59632.07677670446
20,0.02778967515163333,0.041808545752660686,0.03866482119185388,0.05576846318582618,27789.67515163333,41808.545752660684,38664.82119185388,55768.46318582618
21,0.02625876234479918,0.039445589341837284,0.03626998852548757,0.052325368407364126,26258.76234479918,39445.58934183729,36269.98852548757,52325.36840736413
22,0.02488123367707651,0.03706686078901811,0.034368923389388906,0.04924134154938242,24881.233677076507,37066.86078901811,34368.9233893889,49241.34154938242
23,0.023635664439789705,0.035131139210607065,0.032458657307477656,0.04646598511360489,23635.664439789707,35131.13921060706,32458.657307477657,46465.98511360489
24,0.022504235793380678,0.033467471106336744,0.030646205974556695,0.043957624281933505,22504.235793380678,33467.47110633674,30646.205974556695,43957.6242819335
25,0.02147288749697207,0.03176817461713588,0.029176664545809805,0.041681534448678725,21472.88749697207,31768.17461713588,29176.664545809806,41681.53444867873
26,0.020529361836209015,0.030345977739037577,0.027716128204134938,0.03960857842651411,20529.361836209016,30345.97773903758,27716.128204134937,39608.578426514105
27,0.019662729016886926,0.028964250857928198,0.02645434552400605,0.037714147982367496,19662.729016886926,28964.250857928197,26454.34552400605,37714.147982367496
28,0.018865008304059572,0.027664981993460458,0.025325060258277743,0.03597733400737235,18865.00830405957,27664.981993460457,25325.060258277743,35977.33400737235
29,0.018127913255687078,0.02653119180464869,0.024225710940672718,0.034380270253965284,18127.91325568708,26531.19180464869,24225.710940672718,34380.27025396528
30,0.017445005797473545,0.025406172969107743,0.023283422086229244,0.032907610119625064,17445.005797473546,25406.17296910774,23283.422086229242,32907.61011962506
