n,Proposed Method NCMMP,Bothe NCMMP,Pearn NCMMP,Tai NCMMP,Proposed Method Millon NC,Bothe Millon NC,Pearn Millon NC,Tai Millon NC
2,0.420433952855376,0.5239769436474437,0.7069051189666955,0.7661595990602721,420433.952855376,523976.9436474437,706905.1189666955,766159.5990602721
3,0.28020855454905913,0.3773270822449961,0.4753121704014609,0.5594772163580883,280208.55454905913,377327.0822449961,475312.1704014609,559477.2163580883
4,0.20646231271880255,0.29011175309435355,0.3446736944800741,0.4287822125777738,206462.31271880257,290111.75309435354,344673.6944800741,428782.21257777384
5,0.1613419039655406,0.2325522452163704,0.26408805370293287,0.34114076400422144,161341.9039655406,232552.24521637041,264088.05370293284,341140.7640042214
6,0.13114646966951238,0.192186036430263,0.21046861456313848,0.27932262972717314,131146.4696695124,192186.036430263,210468.6145631385,279322.62972717313
7,0.10967981553147732,0.16223235928647828,0.17308985588199222,0.23393603032928612,109679.81553147732,162232.35928647828,173089.8558819922,233936.03032928612
8,0.0937328410224385,0.1395946932272376,0.14553754274044173,0.19952666689082088,93732.8410224385,139594.6932272376,145537.5427404417,199526.66689082087
9,0.08148085481939771,0.12191265944374052,0.12462897719459809,0.17274775177723445,81480.8548193977,121912.65944374053,124628.97719459809,172747.75177723446
10,0.07181451541974204,0.10766052219952438,0.10845641669041184,0.15144943165545732,71814.51541974205,107660.52219952438,108456.41669041183,151449.43165545733
11,0.06402109624059249,0.09616310851897603,0.09546347204184435,0.13419691218182717,64021.09624059249,96163.10851897602,95463.47204184436,134196.91218182715
12,0.05762305450439298,0.08640012937292152,0.08516482872268538,0.12000124847220373,57623.05450439298,86400.12937292152,85164.82872268539,120001.24847220372
13,0.05229052475894669,0.07837038981520505,0.07651734870703186,0.10816178770622309,52290.52475894669,78370.38981520505,76517.34870703187,108161.78770622308
14,0.04778806742200192,0.07155249905574923,0.069292887776357,0.09817020384782893,47788.06742200192,71552.49905574923,69292.887776357,98170.20384782893
15,0.04394314409928679,0.06574501561145829,0.06314469449475646,0.08964999745121571,43943.144099286794,65745.0156114583,63144.69449475646,89649.9974512157
16,0.04062731698747868,0.06063866970441145,0.057969203325275664,0.08231719191981113,40627.316987478676,60638.669704411455,57969.20332527567,82317.19191981113
17,0.037742023240902034,0.05623928986601601,0.0534511245109599,0.0759541182224639,37742.02324090203,56239.289866016006,53451.124510959904,75954.11822246389
18,0.035212606130683444,0.05240958229080506,0.04948755688729345,0.07039151714375302,35212.606130683445,52409.582290805054,49487.556887293445,70391.51714375302
19,0.0329787846449312,0.04904153577382875,0.045995879355119396,0.06549606373167349,32978.784644931206,49041.53577382875,45995.879355119396,65496.063731673494
20,0.030994743197306773,0.04591301045004714,0.043043559496899864,0.0611615078963903,30994.743197306772,45913.01045004714,43043.55949689986,61161.5078963903
21,0.029221618921726478,0.04324373496095468,0.040300192416652836,0.05730227652940889,29221.618921726476,43243.73496095468,40300.19241665283,57302.27652940889
22,0.02762856105573297,0.040769790086342406,0.03792293726886076,0.05384878243825675,27628.56105573297,40769.79008634241,37922.937268860755,53848.78243825675
23,0.02619166771895798,0.03864466836391678,0.03568876956094713,0.0507439368087903,26191.66771895798,38644.66836391678,35688.769560947134,50743.9368087903
24,0.024889361309167635,0.036579413756822055,0.03380719824911682,0.04794052339215016,24889.361309167634,36579.413756822054,33807.198249116824,47940.52339215016
25,0.023703640694769046,0.03467414381943823,0.032128550935566436,0.04539919839274975,23703.640694769045,34674.14381943823,32128.550935566436,45399.19839274975
26,0.022621461282207544,0.033130121006987645,0.03041909713663249,0.043086950563733684,22621.461282207543,33130.12100698765,30419.09713663249,43086.950563733684
27,0.021629593916846934,0.031581326508663965,0.028986824489821927,0.04097590383405869,21629.593916846934,31581.326508663966,28986.824489821927,40975.90383405869
28,0.020717223951123964,0.030127173617293446,0.02770489937831444,0.039042377697054764,20717.223951123964,30127.173617293447,27704.89937831444,39042.37769705476
29,0.019875977533816203,0.028957348246539505,0.026368051283237826,0.03726614355765845,19875.977533816204,28957.348246539506,26368.051283237826,37266.14355765845
30,0.019098838866870915,0.027700519014972835,0.02530316955246459,0.03562983147417631,19098.838866870916,27700.519014972837,25303.169552464587,35629.83147417631
